epoch,train_loss,eval_loss,eval_top1,eval_top5
0,7.2645373391170125,7.41002125,0.106,0.53
1,4.324514545646369,5.61659625,21.704,41.498
2,3.5335843703326058,3.41402375,76.186,93.494
3,3.4965088227215935,1.894661875,80.45,96.024
4,3.4815926902434406,1.2171934375,81.366,96.38
5,3.5245950853123382,0.9571575,81.468,96.42
6,3.46593144828198,0.857730625,81.482,96.334
7,3.4264958512549306,0.816034375,81.546,96.264
8,3.3692655539980123,0.79605,81.434,96.188
9,3.305394023072486,0.7856971875,81.562,96.244
10,3.2970110224742517,0.7782565625,81.67,96.286
11,3.2745576232087377,0.7717296875,81.786,96.318
12,3.2340078260384355,0.7665821875,81.866,96.42
13,3.159409950761234,0.761711875,82.058,96.454
14,3.1245080816979502,0.7565065625,82.252,96.508
15,3.0667096727034626,0.7516153125,82.428,96.536
16,3.0422428472369325,0.747153125,82.51,96.546
17,3.0246777090371824,0.74314125,82.666,96.64
18,2.979241784881143,0.7387215625,82.818,96.684
19,2.9328896414999868,0.734469375,82.946,96.712
20,2.8921493221731747,0.7305975,83.02,96.772
21,2.870679630952723,0.7281625,83.08,96.784
22,2.8395224903144087,0.7257009375,83.2,96.8
23,2.8331845507902256,0.7231725,83.246,96.814
24,2.8128048321780037,0.7211940625,83.364,96.816
25,2.7767545592551137,0.7192828125,83.414,96.836
26,2.769239392935061,0.7181725,83.428,96.846
27,2.7509016640046062,0.717331875,83.47,96.866
28,2.749457791739819,0.7166321875,83.512,96.862
29,2.766247926973829,0.716295625,83.532,96.872
30,2.742870333147984,0.7163125,83.544,96.866
31,2.7734260816200105,0.71636875,83.544,96.866
32,2.745265518917757,0.716404375,83.548,96.878
33,2.7294938447428683,0.716504375,83.558,96.884
34,2.7252810655855666,0.716501875,83.552,96.884
35,2.7349487823598526,0.7165684375,83.558,96.882
36,2.7450746999067417,0.7165909375,83.568,96.876
37,2.7328014560774263,0.716585625,83.572,96.878
38,2.782652822195315,0.7165996875,83.572,96.874
39,2.7451629615297506,0.716586875,83.57,96.876
