epoch,train_loss,eval_loss,eval_top1,eval_top5
0,7.295291517295089,7.1777525,0.11,0.496
1,6.076919083501778,6.28159,4.288,11.65
2,4.718102459814034,4.461455,57.196,79.174
3,4.329456843581855,2.69096625,74.328,93.026
4,4.219408528477538,1.63433125,78.596,95.086
5,4.096893906593323,1.184481875,80.534,95.784
6,4.010244322758095,0.987279375,81.518,96.096
7,4.0210956218195895,0.891240625,81.978,96.34
8,3.9422053846658445,0.8405515625,82.318,96.446
9,3.946081290058061,0.8114334375,82.56,96.48
10,3.9151027880462945,0.7944175,82.732,96.52
11,3.936022686023338,0.784000625,82.776,96.528
12,3.872396256409439,0.77734375,82.82,96.554
13,3.864798342480379,0.772721875,82.908,96.56
14,3.8726571260714064,0.7698203125,82.936,96.596
15,3.8388360411513087,0.767866875,82.962,96.576
16,3.780283808708191,0.76645,82.948,96.588
17,3.8403121980966306,0.7653578125,82.966,96.598
18,3.855428784501319,0.76505375,82.992,96.598
19,3.8617248815648697,0.7650875,83.0,96.616
20,3.82281577353384,0.76538125,83.016,96.632
21,3.830348510368198,0.765064375,83.004,96.63
22,3.768158099230598,0.76529625,83.036,96.644
23,3.7777870052001057,0.76521,83.046,96.638
24,3.769932611315858,0.765199375,83.042,96.636
25,3.7979623476664224,0.765399375,83.05,96.628
26,3.768941926021202,0.765498125,83.068,96.628
27,3.798915475022559,0.765879375,83.1,96.634
28,3.8099111715952554,0.766203125,83.118,96.634
29,3.7254870218389176,0.7661953125,83.136,96.638
30,3.8290495568630742,0.7663925,83.14,96.64
31,3.780613254098331,0.7664178125,83.144,96.632
32,3.8005904099520516,0.766499375,83.136,96.632
33,3.794342835744222,0.7665625,83.148,96.634
34,3.805529748692232,0.7666371875,83.144,96.634
35,3.7651380043403777,0.766728125,83.14,96.638
36,3.7764488108017864,0.766721875,83.148,96.636
37,3.7685294642167935,0.7667153125,83.14,96.634
38,3.8366213335710415,0.7666734375,83.142,96.636
39,3.781241650674857,0.7666684375,83.14,96.638
